feature,description,release_bucket,priority,rationale
Image-based OS update,bootable image / transactional update with rollback,v1,P0,"壊れにくい更新が製品の核になるため。"
Local-first orchestrator,1台から使える内蔵オーケストレーション,v1,P0,"導入障壁を下げるため。"
Stack manifest,宣言的サービス定義,v1,P0,"再現性と運用簡素化のため。"
Recipe catalog,定番構成のワンクリック起動,v1,P0,"PoC立ち上がりを速くするため。"
Runtime broker,GPU/NPU runtime 自動検出,v1,P0,"環境構築の失敗率を下げるため。"
Signed artifact verification,container/model 署名検証,v1,P0,"企業導入で最低限必要な信頼連鎖。"
AI metrics baseline,tokens/sec 等の可視化,v1,P0,"AI専用OSとしての最低差別化。"
Upgrade planner,更新計画と復旧導線,v1,P0,"壊れにくい運用を見せるため。"
QoS Slice Broker,GPUスライスのQoS制御,v1.5,P1,"企業運用で差別化が大きい。"
Context Continuity Engine,文脈保存と再開,v1.5,P1,"会話系サービスの継続性を高める。"
Small-cluster join,軽量ノード参加,v1.5,P1,"部門内展開を後押しする。"
Degraded mode planner,自動縮退,v1.5,P1,"ローカル運用で停止より縮退を優先する。"
Attested Model Vault,attestation と暗号化モデル配布,v2,P1,"規制業界向けの強い差別化。"
Fabric Memory Orchestrator,VRAM/DRAM/CXL/NVMe の配置制御,v2,P1,"次世代メモリ基盤の差別化。"
CXL-aware cold placement,CXL前提のコールドデータ逃がし,v2,P1,"大規模モデル時代の現実的価値。"
Cross-node context resume,ノード跨ぎ文脈再開,v2,P2,"難度は高いが将来価値が大きい。"
Kubernetes compatibility layer,K8s前提の制御面,v3,P2,"v1では重すぎる。"
General desktop environment,一般向けGUIデスクトップ,cut,P2,"AI専用OSの価値とズレる。"
Host-installed full ML stacks,ホスト直置きの多フレームワーク共存,cut,P2,"壊れやすく保守性が低い。"
